"company_name","job_title","job_description","job_posted_date","job_salary/currency","job_salary/currency_symbol","job_salary/estimated","job_salary/pay_period","job_industry","company_short_name","company_sizes_str","company_foundation_date","company_revenue"
"Hazen and Sawyer, P.C.","Assistant Civil Engineer","Candidate will participate on project teams for site civil and stormwater projects. Candidate should have between 1 – 4 years with EI certification. Responsibilities include permitting, best management practice sizing calculations, drainage design, developing construction drawings and specifications, erosion and sediment control, and report writing.

Technical experience with AutoCAD Civil 3D is preferred. Candidates must be self-motivated, highly organized and possess excellent writing and communication skills. Occasional local and regional travel may be required.

Qualifications/Skills required:

 * Experience with Autocad Civil 3D software is preferred.
 * Experience with Microsoft Office products is required.
 * 1-4 years of experience. This is an entry level position.
 * EI/EIT Certification required

Educational Requirements:

 * Bachelor of Science in civil, biological & agricultural, environmental or biosystems engineering","2024-03-14T00:00:00","USD","$","true","hourly","Business Consulting","Hazen and Sawyer","1001 to 5000 Employees","1951-01-01T00:00:00.000Z","$100 to $500 million (USD)"
"Public Utility District No. 1 of Chelan County, Washington","Civil Engineer","This position will be filled at either the Civil Engineer I, II, III, Senior I or Senior II level, contingent upon the skills and experience of the selected candidate.

JOB PURPOSE:
The Civil Engineer working in Engineering & Project Management performs intermediate to advanced (at higher levels) calculations, analysis, design, and construction support in the competency areas of geotechnical, hydraulic, structural, water resource and dam safety and assists with project management activities related to operation, maintenance and rehabilitation of hydroelectric generation facilities, switchyards, substations, parks, hatcheries, water and waste water systems and treatment plants. The position requires independent judgement/knowledge of the principles, practices, and procedures, including materials, equipment, and techniques, used in professional level work in the field of civil engineering and project management. At level III, the position will act as the design engineer and/or project manager for moderately complex projects. Additional responsibilities will include directing consultants, crew superintendents, foreman and contractors to troubleshoot and resolve problems.

Responsibilities:

 * Design Engineering - Perform basic civil engineering design, analysis, and calculations for projects under the guidance, direction, and supervision of higher-level engineers. Tasks will be assigned that apply and develop basic engineering skills. Prepare basic plans, specifications, and cost estimates for procurement; prepare material and/or labor bid document packages. Follow engineering quality procedures. Review submittals and respond to requests for information during construction. Develop inspection and testing plans. Inspect fabrication and construction activities, materials, work products and troubleshoot construction problems. Prepare start-up and training plans for operation and maintenance of projects.
 * Perform technical inspections and field verifications to help learn about the design process and construction practices. Operations and Maintenance Troubleshooting and Technical Assistance Clarify and pinpoint problems. Develop testing methods and alternatives. Participates in investigations, collects data, and performs research. Provide alternative problem solutions. Write brief reports describing possible solutions and recommendations. Receives daily technical guidance from higher level engineers.
 * Planning and Preliminary Engineering - Perform basic engineering planning, feasibility studies (including technical report writing), cost estimating, economic analyses and develop alternatives to help determine solutions to operational problems, regulatory concerns, efficiency improvements, asset management issues, etc.

 * Planning, Preliminary Engineering, Budget Development: Perform engineering planning, feasibility studies (including technical report writing), cost estimating, economic analyses and develop alternatives to help determine solutions to operational problems, regulatory concerns, efficiency improvements, asset management issues, etc.
 * Operations and Maintenance Troubleshooting and Technical Assistance: Troubleshoot operations and maintenance problems at the request of plant personnel. Clarify and pinpoint problems. Develop testing methods and alternatives. Provide alternative problem solutions. Write brief reports describing possible solutions and recommendations.
 * Project Management: Assist in the development and implementation of scopes, schedules, budgets, and procurement documents for project. May act as a project manager for projects of limited complexity. Communicate progress on project related activities to project manager, internal clients, District supervision and management. Write status and tracking reports. Participate in progress meetings. Procure materials. Participate in the selection and management of consultants and contractors. Participate in the preparation of technical specifications and other bid documents required for project construction. Ensure compliance with quality procedures.

 * Perform civil engineering design, analysis, and calculations of medium complexity, as assigned. Develop design criteria, provide the design steps and correct sequencing of the technical activities to other project team members.
 * Manage conventional projects or portions of larger complex projects from concept to close out. Develop and implement scopes, schedules and budgets. Set up and lead project teams including design engineers, consultants, contractors, construction inspectors, real property agents, skilled crafts workers, permitting specialists, purchasing agents, etc.
 * Troubleshoot operations and maintenance problems at the request of District personnel. Clarify and pinpoint problems. Develop testing methods and alternatives. Provide alternative problem solutions. Write brief reports describing possible solutions and recommendations.
 * Perform engineering planning, feasibility studies (including technical report writing, and more.
 * Participate in work process improvement efforts primarily as a member of interdisciplinary work teams. Contribute to the development of District technical standards.

 * Perform engineering design, analysis and calculations of advanced complexity as assigned determining the methodology and depth needed. Lead other team members in proper execution of technical activities.
 * Perform engineering planning, feasibility studies (including technical report writing), cost estimating, economic analyses and develop alternatives to help determine solutions to operational problems, regulatory concerns, efficiency improvements, asset management issues, etc.
 * Manage moderately complex projects from concept to close out. Develop and implement scopes, schedules, and budgets. Set up and lead project teams including design engineers, consultants, contractors, construction inspectors, skilled crafts workers, permitting specialists, purchasing agents, etc.
 * Troubleshoot operations and maintenance problems at the request of Operations & Maintenance personnel. Clarify and pinpoint problems. Develop testing methods and alternatives. Provide alternative problem solutions. Write brief reports describing possible solutions and recommendations.
 * Perform testing, start-up, and commissioning. Prepare test and commissioning plans, direct craft labor and contractors to perform the tests, interpret test result and prepare summary reports, prepare operations and maintenance instructions.
 * Participate in work process improvement efforts primarily as a member of interdisciplinary work teams. Contribute to the development of company technical standards.

 * Perform complex engineering design, analysis and calculations of advanced complexity frequently determining the need and scope of the analysis and calculation. Investigate alternatives for design steps and sequencing for obscure or indeterminate problems. Provide structure and work sequence to lower-level engineers to guide technical activities. Receives only general objective guidance from higher level engineers and management.
 * Manage complex projects from concept to close out. Develop and implement scopes, schedules and budgets. Set up and lead project teams including design engineers, consultants, contractors, construction inspectors, skilled crafts workers, permitting specialists, purchasing agents, etc. Negotiate conditions and agreements with stakeholders, landowners and regulatory agencies. Ensure compliance with QA/QC procedures to maintain the quality of project deliverables.
 * Perform engineering planning, feasibility studies (including technical report writing), cost estimating, economic analyses and develop alternatives to help determine solutions to operational problems, regulatory concerns, efficiency improvements, asset management issues, etc.
 * Troubleshoot operations and maintenance problems at the request of Operations & Maintenance personnel. Clarify and pinpoint problems. Develop testing methods and alternatives. Provide alternative problem solutions. Write brief reports describing possible solutions and recommendations.
 * Perform testing, start-up and commissioning. Prepare test and commissioning plans, direct craft labor and contractors to perform the tests, interpret test result and prepare summary reports, prepare operations and maintenance instructions.
 * Participate in work process improvement efforts primarily as a member of interdisciplinary work teams. Contribute to the development of company technical standards.

QUALIFICATIONS: The qualifications listed below are representative of those required, but reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions of the job.

Post-Secondary Education:
Bachelor's degree (B. S., B. A.) in Civil Engineering or equivalent combination of education and experience is required.

Civil Engineer I, II and III:

 * EIT (Engineer in Training) achieved by passing the FE (Fundamentals of Engineering) exam is preferred.

Senior Engineer I and II:

 * Professional Engineer (PE) License strongly preferred.

Experience:

Candidates with experience in hydropower infrastructure and/or with an electric utility preferred.

2+ years experience performing civil engineering related to hydropower generation, power distribution, and water resources fields of increasing complexity. Experience must include examples of successful application of basic civil engineering in the form of reports, calculations, specifications, and drawings; participation in data collection and field research or inspections. required. and

4+ years performing civil engineering related to power generation, dam safety, power distribution, and water resources of increasing complexity. Experience must include examples of successful application of fundamental civil engineering in the form of reports, specifications, and drawings required. and

6+ years experience performing civil engineering related to hydroelectric generation facilities, switchyards, substations, parks, hatcheries, water and waste water treatment plants of increasing complexity. Experience must include examples of successful application of engineering in the form of reports, specifications, and drawings; knowledge of construction means and methods including cost and schedule estimates; knowledge of construction turnover/testing and commissioning; and proper identification of appropriate codes and standards for a wide variety of situations. required.

8+ years performing civil engineering related to hydroelectric generation facilities, switchyards, substations, parks, hatcheries, water and waste water treatment plants of increasing complexity. Experience must include examples of successful application of complex engineering in the form of reports, calculations, specifications, and drawings; knowledge of construction means and methods including cost and schedule estimates; knowledge of construction turnover/testing and commissioning and proper identification of appropriate codes and standards for a wide variety of situations.

Skills & Abilities

 * Basic knowledge of the application of engineering practices, principles, tools, software, and methods in civil engineering and may require regular referral to training & textbooks
 * Basic knowledge of industry codes & standards in civil engineering
 * Ability to continuously learn and apply engineering principles
 * Ability to interpret basic applicable codes and standards
 * Problem Solving - able to perform analysis and solve problems using flow charts and written examples

 * Knowledge of design techniques, tools, and principles of production of technical plans, blueprints, drawings, and models..
 * Basic knowledge of industry codes and standards within civil engineering.
 * Basic knowledge of construction practices, quality control, and project execution.
 * Basic knowledge of civil engineering design directly relating to earth work, foundations, building structures, water and wastewater conveyance and treatment, power and communication support structures.
 * Working knowledge of the principles, practices and procedures of engineering, project management and construction, including methods, materials, equipment, techniques, technical software, schedules, specifications, and contract documents.

 * Working knowledge of the engineering practices, principles, codes, standards, tools, and software for most types of engineering problems in the discipline typically encountered. Rarely refers to training and textbooks.
 * Basic knowledge of principles, codes and standards of other engineering disciplines.
 * Basic knowledge of project management phases & processes
 * Knowledge of industry codes and standards within civil engineering.
 * Knowledge of construction practices, quality control, and project execution.
 * Knowledge of civil engineering design directly relating to earth work, foundations, building structures, water and wastewater conveyance and treatment, power and communication support structures.

 * In depth knowledge of the application of engineering tools and software. Rarely refers to training and textbooks.
 * Gaining basic knowledge of codes and standards in multiple engineering disciplines.
 * Knowledge of project evaluation, scheduling, budgeting, and contract execution for moderately complex projects.
 * General knowledge of other engineering disciplines used at the District.
 * Ability to collaborate in the development of alternatives in a team environment.

 * In depth knowledge of the application of engineering tools and software. Refers to training material, textbooks, and references only to verify accuracy or determine proper methods for less common problems.
 * Well-developed knowledge of codes and standards in multiple engineering disciplines.
 * Knowledge of project evaluation, scheduling, budgeting, and contract execution for moderately complex projects.
 * Knowledge of how other engineering disciplines relate to assigned discipline.
 * Accurately interpret and apply common codes and standards.
 * Able to analyze and resolve complex engineering problems in area of discipline.

Physical Demands

 * Sitting - Regularly
 * Standing - Occasionally
 * Walking - Occasionally
 * Pushing/Pulling Distance/Surface - Occasionally
 * Perform Work on Ladders - Occasionally
 * Climb Stairs - Occasionally
 * Stooping/Bending - Occasionally
 * Squatting/Kneeling - Occasionally
 * Crawling - Occasionally
 * Talking - Frequently
 * Hearing - Frequently
 * Visual - Near Acuity - Regularly
 * Visual - Far Acuity - Regularly
 * Visual - Depth Perception - Regularly
 * Visual - Color Discrimination - Regularly
 * Feeling - Frequently

Working Conditions

 * Wet and/or Humidity - Occasionally
 * Proximity to Moving Mechanical Parts - Occasionally
 * Exposure to Electricity - Occasionally
 * Noise Intensity Level: - Moderate

Job Type: Full-time

Pay: $67,120.00 - $125,500.00 per year

Benefits:

 * 401(k)
 * 401(k) matching
 * Dental insurance
 * Employee assistance program
 * Health insurance
 * Health savings account
 * Life insurance
 * Paid time off
 * Professional development assistance
 * Relocation assistance
 * Retirement plan
 * Tuition reimbursement
 * Vision insurance

Schedule:

 * Monday to Friday

Work Location: In person","2024-03-16T00:00:00","USD","$","false","hourly","Energy & Utilities","Chelan County PUD","501 to 1000 Employees","1936-01-01T00:00:00.000Z","$500 million to $1 billion (USD)"
"BSA Service Corp","Civil Designer/Civil Engineer","seeking an experienced Civil Designer in Land Development to support and take direction from a Project Manager and/or a Staff Engineer. The Civil Designer is responsible for the design of engineering improvement plans and calculations, preparing a variety of engineering studies and interpreting them with a minimum of supervision and assistance. He/she must be able to incorporate agency standards into a design and direct the draftspersons and engineering technicians in the preparation of a complete and accurate plan. The Civil Designer must be proficient in Autodesk AutoCAD

Civil 3D. This is a full-time position and compensation will be based on qualifications.

Adkan Engineers is a well-established mid-sized Civil Engineering, Planning, and Land Surveying firm located in Riverside, CA. Currently staffed at approximately 56 employees, we specialize in the private

Land Development sector, we offer competitive compensation and benefit packages.

Required Design Skills and Experience:

 * 1 - 5 years of industry experience
 * Must possess excellent written and verbal communication skills.
 * Experience with Site Grading, Earthwork Calculations, Road Design, Drainage (Calculations &

Reports), Sewer and Water Layout & Sizing, Technical Report Writing

Education/Experience:

 * Bachelor’s degree in Civil Engineering from an ABET accredited program.
 * EIT preferred.

Computer Skills:

 * Working knowledge of Windows.
 * Working knowledge of MS Office.
 * Must be proficient in AutoCAD/Civil 3D.

Job Type: Full-time

Salary: $77,081.00 - $83,206.00 per year

Benefits:

 * 401(k)
 * 401(k) matching
 * Dental insurance
 * Flexible schedule
 * Health insurance
 * Life insurance
 * Paid time off
 * Vision insurance

Schedule:

 * 8 hour shift

Work Location: Remote","2024-03-15T00:00:00","USD","$","false","hourly","Staffing & Subcontracting","BSA Service Corp","1 to 50 Employees",,"Unknown / Non-Applicable"
"Weis Builders, Inc.","Construction Project Engineer","Weis Builders is proud to be built on a foundation of open communication, an excitement of our industry, 80+ years of consistent business growth and continuous family-owned leadership.

We offer associates individualized professional and personal development, challenging experiences, meaningful projects, and a supportive team atmosphere. Weis Builders understands the importance of technology to help motivate and engage your work experience. Let our culture of Building Relationships be a top consideration for your work-life balance and well-being. …it is this culture statement that is core to our success with associates, clients, vendors, and the communities in which we work.

The PE plays a vital role in the success of each project as the central hub for project information between the Project Superintendent and Project Manager, our client and the architect.

What you ll do

 * Develop lasting relationships with clients, architects, vendors to understand future planning as well as support Weis Builders continuous growth.
 * Preconstruction/Project start up: Assist in material take offs, obtaining subcontractor and supplier quotes, schedule preparation and subcontract award.
 * Construction Management: identify and implement cost and time saving measures, obtain permits, assist in field start up activities, create reports as needed, obtain submittals and manage submittal process, submit weekly OFIs for future projects.
 * Post Construction: Assist Project coordinator to obtain final closeout submission documents, prepare project records for storage, warranty follow ups.
 * General: acquire understanding of building code and design, learn and improve personal/technical and managerial skills, assist as needed to ensure timely and economic project completion.

What you ll bring

 * Quickly develops rapport with others and is effective in a collaborative environment
 * Construction Management and/or Engineering Degree or related field Experience
 * Client focus
 * Ability to prioritize
 * Strong work ethic
 * Professional composure, integrity

","2024-03-16T00:00:00","USD","$","true","hourly","Construction","Weis Builders","201 to 500 Employees","1939-01-01T00:00:00.000Z","$100 to $500 million (USD)"
"HR Green, Inc.","Civil Plan Check Engineer (Civil Engineer)","Join our team! Our mission is BUILDING COMMUNITIES. IMPROVING LIVES. With a history spanning over 110 years, HR Green has consistently delivered on this mission, establishing ourselves as a trusted partner for our colleagues, clients, and communities alike. Each day, we work to find solutions that inspire our employees and fit our clients' needs to build trust to exceed their expectations. As a leading player in the industry, we’re proud to be ranked No. 168 on Engineering News Record’s Top 500 Design Firms list in 2023. Our unwavering dedication to cultivating an exceptional workplace environment has earned us the distinguished honor of being recognized as a Best Place to Work.
Summary
As a Civil Plan Check professional, you will be responsible for meticulously reviewing plans for commercial, industrial, single-family, and multi-family projects. Your main task will be to ensure compliance with the codes and ordinances of the assigned county or surrounding counties, as well as City regulations. This involves a thorough examination of plans, including but not limited to Hydrology and Hydraulics, WQMP, LID, Site Grading, & SD (as necessary).
Your role will require excellent communication, technical writing, and presentation skills. You should be proficient in independently evaluating, selecting, and applying engineering techniques, procedures, and criteria to various projects.
Essential Duties and Responsibilities

 * Reviews engineering plans, reports, and supporting calculations submitted for residential, commercial, and industrial developments to ensure compliance with city and county design guidelines and regulations (conditions of approval, master plans, low impact development, etc)
 * Checks for accuracy of design in conformance with City Standards and Check Lists.
 * Works independently and as a team member; recognizes and sets priorities and meets deadlines.
 * As needed, performs record keeping and documentation of plan check reviews.
 * As needed, monitors and updates plan check log on a weekly basis in Microsoft Excel.

Education and Experience

 * Requires bachelor’s degree from an accredited college in civil engineering or closely related field.
 * Requires 10+ years’ experience in civil engineering industry, preparing studies such as Hydrology and WQMP.
 * Preferred a minimum of 10 years’ experience as a plan checker reviewing plans and hydrology and WQMP reports and related grading or improvement plans.
 * Candidate must be familiar with computer operation (MS Office).
 * Successful completion of EIT or PE is preferred.

*
Benefits*
HR Green provides you with a place to grow, thrive, and enjoy your work while delivering a comprehensive and multi-faceted benefits package. Visit our website for detailed total rewards information.
https://www.hrgreen.com/careers/benefits/
HR Green is proud to be an affirmative action/ equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, veteran status, or other classification protected by applicable federal, state or local law.

Job Type: Full-time","2024-03-15T00:00:00","USD","$","true","hourly","Architectural & Engineering Services","HR Green","501 to 1000 Employees","1913-01-01T00:00:00.000Z","$100 to $500 million (USD)"
"HR Green, Inc.","Civil Plan Check Engineer (Civil Engineer)","Join our team! Our mission is BUILDING COMMUNITIES. IMPROVING LIVES. With a history spanning over 110 years, HR Green has consistently delivered on this mission, establishing ourselves as a trusted partner for our colleagues, clients, and communities alike. Each day, we work to find solutions that inspire our employees and fit our clients' needs to build trust to exceed their expectations. As a leading player in the industry, we’re proud to be ranked No. 168 on Engineering News Record’s Top 500 Design Firms list in 2023. Our unwavering dedication to cultivating an exceptional workplace environment has earned us the distinguished honor of being recognized as a Best Place to Work.

Summary

As a Civil Plan Check professional, you will be responsible for meticulously reviewing plans for commercial, industrial, single-family, and multi-family projects. Your main task will be to ensure compliance with the codes and ordinances of the assigned county or surrounding counties, as well as City regulations. This involves a thorough examination of plans, including but not limited to Hydrology and Hydraulics, WQMP, LID, Site Grading, & SD (as necessary).

Your role will require excellent communication, technical writing, and presentation skills. You should be proficient in independently evaluating, selecting, and applying engineering techniques, procedures, and criteria to various projects.

Essential Duties and Responsibilities

 * Reviews engineering plans, reports, and supporting calculations submitted for residential, commercial, and industrial developments to ensure compliance with city and county design guidelines and regulations (conditions of approval, master plans, low impact development, etc)
 * Checks for accuracy of design in conformance with City Standards and Check Lists.
 * Works independently and as a team member; recognizes and sets priorities and meets deadlines.
 * As needed, performs record keeping and documentation of plan check reviews.
 * As needed, monitors and updates plan check log on a weekly basis in Microsoft Excel.

Education and Experience

 * Requires bachelor’s degree from an accredited college in civil engineering or closely related field.
 * Requires 10+ years’ experience in civil engineering industry, preparing studies such as Hydrology and WQMP.
 * Preferred a minimum of 10 years’ experience as a plan checker reviewing plans and hydrology and WQMP reports and related grading or improvement plans.
 * Candidate must be familiar with computer operation (MS Office).
 * Successful completion of EIT or PE is preferred.




Benefits

HR Green provides you with a place to grow, thrive, and enjoy your work while delivering a comprehensive and multi-faceted benefits package. Visit our website for detailed total rewards information.

https://www.hrgreen.com/careers/benefits/

HR Green is proud to be an affirmative action/ equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, veteran status, or other classification protected by applicable federal, state or local law.

","2024-03-15T00:00:00","USD","$","true","hourly","Architectural & Engineering Services","HR Green","501 to 1000 Employees","1913-01-01T00:00:00.000Z","$100 to $500 million (USD)"
"Hazen and Sawyer, P.C.","Assistant Engineer - Civil/Conveyance","Join our Hazen team and make the world a better place providing exceptional client service in all things water® and superior technical solutions for our clients. Hazen is a creative, employee-owned company with minimal bureaucracy where employees thrive.

Hazen has outstanding opportunities for motivated, talented people that enjoy teamwork and collaboration, client service, and solving our clients’ most difficult challenges. You will be supported by multiple mentors on projects and local office leadership.

Hazen and Sawyer is seeking a candidate in one of our Denver, Colorado offices to provide site civil and/or conveyance design for water and wastewater conveyance projects. Qualified candidates should have an interest in hydraulics and hydrology, alignment analysis, pipeline design, pump station design, diversion and intake design, site civil, and condition assessment and rehabilitation. Candidate must also have good communication skills. Candidate will serve as a civil and conveyance designer on projects for water and wastewater conveyance projects. Responsibilities include executing redline markups, laying out pipeline horizontal alignment, laying out pipeline vertical profile, evaluating alternative alignments, pipeline material evaluation, design calculations, site layout and grading, and interaction with engineers from other disciplines.

Additional Qualifications/Skills:

 * Experience with AutoCAD is desirable.
 * Experience with Microsoft Office products is required.
 * Experience with hydraulic modeling software is desirable.
 * 0-4 years of experience required.

Passing or having the ability pass the Fundamentals of Engineering exam is desirable.

Educational Requirements:

 * Bachelor of Science in Engineering

Benefits: 401k employer contribution, performance bonus, comprehensive medical, dental and vision insurance, employee assistance and wellness programs.","2024-03-08T00:00:00","USD","$","false","hourly","Business Consulting","Hazen and Sawyer","1001 to 5000 Employees","1951-01-01T00:00:00.000Z","$100 to $500 million (USD)"
,"Civil Engineer","Main Responsibilities:

 * Knowledge of ADA requirements with ability to design facilities to comply with ADA.
 * Potable water system analysis, system design, specification writing, construction administration, sanitary sewer system analysis (pressure and gravity), on-site and community system design.
 * Site layout, grading, parking, utilities, roadway, and storm water management design.
 * Permit preparation and municipal coordination.
 * Support Municipal, Industrial, Commercial, Healthcare, Retail and Education developments.
 * Field work including site inspection and construction coordination.
 * Able to interact with clients, owners, developers, systems managers, government officials, engineering team personnel, etc.

Qualifications:

 * Bachelor's degree in Civil Engineering.
 * Knowledgeable of the various professional surveying requirements (preferred)
 * Knowledgeable of the various methods of stormwater control (retention, detention, bioswales, rain gardens, erosion control, etc.) and conveyance, FEMA, OWR, etc.
 * Proficient with Auto CAD, Civil 3D, Microstation, Inroads, Arc GIS, Microsoft Office, KY Pipes, various hydraulic modeling software and other computer software (preferred).
 * Three years of relative Civil Engineering experience with knowledge of multi-disciplinary aspect of Civil Engineering (preferred).

Job Type: Full-time

Pay: Up to $30.00 per hour

Expected hours: No less than 40 per week

Benefits:

 * Health insurance
 * Paid time off

Compensation package:

 * Bonus opportunities
 * Overtime pay

Experience level:

 * 3 years

Schedule:

 * 8 hour shift
 * Monday to Friday

Education:

 * Bachelor's (Preferred)

Security clearance:

 * Confidential (Preferred)

Ability to Commute:

 * Gadsden, AL 35904 (Required)

Ability to Relocate:

 * Gadsden, AL 35904: Relocate before starting work (Required)

Work Location: In person","2024-03-15T00:00:00","USD","$","false","hourly",,,,,
,"Municipal/Civil Design Engineer","Center State Engineering is a boutique consulting/municipal civil engineering firm with offices in Middlesex County, New Jersey. The firm provides land development and municipal engineering services, including municipal capital design, transportation, project management, surveying and construction inspection. Our Monroe Township, NJ office is currently seeking qualified mid-level engineers.

Requirements & Responsibilities:

 * B.S. degree in Engineering, P.E. Required;
 * Minimum of 3-5 years of experience in the preparation of Parks and Recreation Design; Transportation Design; Subdivision Development Plans including Grading, Drainage, Erosion & Sediment Control; Stormwater Management; Roads, Water & Sewer Utility Design;
 * Experience with AutoCAD Civil 3D is required;
 * Knowledge of Microsoft Office products, such as Word, Excel and PowerPoint;
 * Must have good communication skills
 * Center State Engineering offers health insurance, life insurance, dental and vision coverage. Additional benefits include 401(k) savings plan with match, paid holidays, vacation and sick days, tuition reimbursement and flexible work week hours. Salary is commensurate with experience.

Job Type: Full-time

Required experience:

 * Civil Engineering Graduate with 4-6 years of Design

Job Type: Full-time

Pay: $75,000.00 - $100,000.00 per year

Benefits:

 * 401(k)
 * 401(k) matching
 * Dental insurance
 * Flexible spending account
 * Health insurance
 * Life insurance
 * Paid time off
 * Professional development assistance
 * Tuition reimbursement
 * Vision insurance

Schedule:

 * Monday to Friday

Supplemental pay types:

 * Commission pay

Ability to Relocate:

 * Monroe Township, NJ 08831: Relocate before starting work (Required)

Work Location: In person","2024-03-14T00:00:00","USD","$","false","hourly",,,,,
"Willmer Engineering Inc.","Civil Engineer","Job Description:




We are currently seeking a well-qualified individual with the necessary skills to fill the role of Staff Civil Engineer within the firm.




Job Duties:

 * Meet department fees & profit goals
 * Assist in organizing & conducting engineering investigations
 * Outlining and preparing relatively straightforward reports or sections of more complex reports
 * Working under the periodic review of a more experienced professional
 * Providing engineering services during construction activities, preparing records and progress reports defining construction progress, observing construction procedures under the guidance of a more experienced professional
 * Researching feasibility of alternative design approaches, site conditions, and regulatory agency specifications
 * Preparing preliminary man-hour, cost, and material quantity estimates
 * Coordinating with other disciplines, as required
 * Performing field observations, quality assurance and quality control inspections




Qualifications:

 * Bachelor of Science in Civil Engineering (Preferred Geotechnical concentration)
 * Internship in related Engineering field preferred
 * Engineer in Training (E.I.T.) exam passed preferred
 * ACI test passed preferred
 * Excellent communication skills




Salary:

 * Position is full-time
 * Salary will be commensurate with experience




Benefits:

 * Health, Dental and Vision Benefits
 * Life Insurance, Short Term/Long Term Disability Programs
 * 401(k) Plan and Profit Sharing
 * Robust PTO package




Requirements

Personal car and/or transit arrangements




If you enjoy working in a fast-paced, multi-faceted environment this is the position for you! The firm is seeking an individual ready to take the next step in their career and work in a firm that values their input as our firm expands into new service and market areas.




Please visit our website for more details

https://www.willmerengineering.com/

","2024-03-15T00:00:00","USD","$","true","hourly","Architectural & Engineering Services","Willmer Engineering","1 to 50 Employees","1982-01-01T00:00:00.000Z","$1 to $5 million (USD)"
