Year;Mo;Dy;Hr;Mn;Sec;Tsu;Vol;Location Name;Latitude;Longitude;Focal Depth (km);Mag;MMI Int;Deaths;Death Description;Missing;Missing Description;Injuries;Injuries Description;Damage ($Mil);Damage Description;Houses Destroyed;Houses Destroyed Description;Houses Damaged;Houses Damaged Description;Total Deaths;Total Death Description;Total Missing;Total Missing Description;Total Injuries;Total Injuries Description;Total Damage ($Mil);Total Damage Description;Total Houses Destroyed;Total Houses Destroyed Description;Total Houses Damaged;Total Houses Damaged Description
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-2150;;;;;0;;;JORDAN:  BAB:A:DARAA,AL:KARAK;311;355;;73;;;;;;;;;3;;;;;;;;;;;;;;;;
-2000;;;;;;1;;SYRIA:  UGARIT;35683;358;;;10;;3;;;;;;;;;;;;3;;;;;;;;;;
-2000;;;;;;;;TURKMENISTAN:  W;38;582;18;71;10;1;1;;;;;;1;;1;;;1;1;;;;;;1;;1;;
-1610;;;;;;3;1351;GREECE:  THERA ISLAND (SANTORINI);364;254;;;;;;;;;;;;;;;;;3;;;;;;3;;;;
-1566;;;;;0;;;ISRAEL:  ARIHA (JERICHO);315;353;;;10;;;;;;;;3;;;;;;;;;;;;;;;;
-1450;;;;;;;;ITALY:  LACUS CIMINI;355;255;;;10;;;;;;;;;;;;;;;;;;;;;;;;
-1365;;;;;;4;;SYRIAN COASTS;35683;358;;;;;;;;;;;3;;;;;;;;;;;;3;;;;
-1250;;;;;0;;;ISRAEL:  ARIHA (JERICHO);32;355;;65;;;;;;;;;3;;;;;;;;;;;;;;;;
-1050;;;;;0;;;JORDAN:  SW:  TIMNA COPPER MINES;296;35;;62;;;;;;;;;3;;;;;;;;;;;;;;;;
-759;;;;;;;;ISRAEL:  JERUSALEM;33;355;;;11;;;;;;;;3;;;;;;;;;;;;3;;;;
-590;;;;;;7;;LEBANON:  SUR (TYRE);3327;3522;;;;;;;;;;;;;;;;;;;;;;;;;;;
-550;;;;;;;;GREECE:  MOUNT TAYGETUS;37;225;;;10;;;;;;;;;;;;;;;;;;;;;;;;
-525;;;;;;8;;LEBANON:  SUR (TYRE), SAYDA (SAIDA);3356;3537;;;;;;;;;;;;;;;;;;;;;;;;;;;
-480;9;29;;;;3469;;GREECE:  SARONIC GULF;379;235;;;;;;;;;;;;;;;;;;;;;;;;;;;
-479;;;;;;9;;GREECE:  MACEDONIA;397;233;;7;9;;;;;;;;;;;;;;3;;;;;;;;;;
-432;;;;;;;;GREECE:  ROMAN TERRITORIES;37;225;;;;;;;;;;;1;;1;;;;;;;;;;1;;1;;
-426;6;;;;;10;;GREECE:  EUBOEA;389;227;;71;10;2500;4;;;;;;3;;3;;;2500;4;;;;;;3;;3;;
-400;;;;;;;;IRAN:  REY,EIVAN:E:KAY;355;518;;76;;;;;;;;;3;;;;;;;;;;;;3;;;;
-373;;;;;;11;;GREECE;3825;2225;;73;11;;3;;;;;;3;;3;;;;3;;;;;;3;;3;;
-364;;;;;;;;ITALY:  ROME;35;25;100;;;;;;;;;;1;;;;;;;;;;;;1;;;;
-330;;;;;;12;;GREECE:  AEGEAN SEA;40;25;;7;11;;;;;;;;;;;;;;;;;;;;;;;;
-326;11;;;;;5282;;INDIA:  KUTCH;23;71;;;;;;;;;;;;;;;;;;;;;;;1;;;;
-282;;;;;;;;TURKEY:  LYSIMACHIA;41;27;;;10;;;;;;;;;;;;;;;;;;;;;;;;
-282;;;;;;;;GREECE:  DELPHI;385;225;;;;;;;;;;;1;;;;;;;;;;;;1;;;;
-250;;;;;;;;KYRGYZSTAN:  CHIGUCHIN;427;775;20;67;9;;;;;;;;3;;;;;;;;;;;;3;;;;
